"beta","response","rt","descriptor","speed","seed","ID","fD_c","fD_f"
"3.5",61.9,9924.89999997616,"complex","0.5",314,"27",1.6,"D~1.6"
"4",37.96,14631.2000000477,"complex","0.5",117,"27",1.4,"D~1.4"
"4",18.65,3287,"complex","1",314,"27",1.4,"D~1.4"
"3.5",68.92,5758.79999995232,"complex","0.5",117,"27",1.6,"D~1.6"
"4.5",34,7326.80000007153,"complex","1",314,"27",1.2,"D~1.2"
"2.5",85.05,6078.79999995232,"complex","0.5",117,"27",1.8,"D~1.8"
"5.5",16.8,7109.60000002384,"complex","1.5",117,"27",1,"D~1.0"
"5.5",13.89,8308.69999992847,"complex","2",238,"27",1,"D~1.0"
"4.5",26.72,3566.90000009537,"complex","0.66667",238,"27",1.2,"D~1.2"
"2.5",90.34,5224.10000002384,"complex","1.5",238,"27",1.8,"D~1.8"
"5.5",38.62,4078.89999997616,"complex","2",117,"27",1,"D~1.0"
"5.5",33.33,3926.89999997616,"complex","1.5",314,"27",1,"D~1.0"
"4.5",30.03,3375.20000004768,"complex","1.5",238,"27",1.2,"D~1.2"
"2.5",95,5432.39999997616,"complex","1",117,"27",1.8,"D~1.8"
"3.5",83.86,5965.79999995232,"complex","0.66667",117,"27",1.6,"D~1.6"
"4.5",41,6479.70000004768,"complex","1.5",314,"27",1.2,"D~1.2"
"4.5",45.37,2567.09999990463,"complex","0.66667",117,"27",1.2,"D~1.2"
"3.5",64.55,3878.90000009537,"complex","2",314,"27",1.6,"D~1.6"
"4",32,6087.89999997616,"complex","2",314,"27",1.4,"D~1.4"
"5.5",4,3678.5,"complex","1",238,"27",1,"D~1.0"
"2.5",92.33,2470.69999992847,"complex","1",314,"27",1.8,"D~1.8"
"2.5",98,3271.29999995232,"complex","0.5",238,"27",1.8,"D~1.8"
"3.5",78.7,2351.40000009537,"complex","2",117,"27",1.6,"D~1.6"
"3.5",57.8,5207.70000004768,"complex","1.5",238,"27",1.6,"D~1.6"
"5.5",29.23,2415.5,"complex","0.66667",117,"27",1,"D~1.0"
"2.5",99,5878.5,"complex","0.66667",238,"27",1.8,"D~1.8"
"4.5",32.28,2743.39999997616,"complex","2",117,"27",1.2,"D~1.2"
"2.5",95,3478.79999995232,"complex","1.5",314,"27",1.8,"D~1.8"
"4",44.71,7855.69999992847,"complex","1",117,"27",1.4,"D~1.4"
"2.5",94.58,5926.89999997616,"complex","1",238,"27",1.8,"D~1.8"
"3.5",71.69,2799,"complex","2",238,"27",1.6,"D~1.6"
"4.5",45.5,4399.10000002384,"complex","1",238,"27",1.2,"D~1.2"
"3.5",54.23,3519.5,"complex","1.5",117,"27",1.6,"D~1.6"
"3.5",62.57,3408.70000004768,"complex","1",238,"27",1.6,"D~1.6"
"4.5",40.87,6901.89999997616,"complex","0.66667",314,"27",1.2,"D~1.2"
"4",30.95,4390.89999997616,"complex","1.5",117,"27",1.4,"D~1.4"
"3.5",39.55,5142.89999997616,"complex","1",314,"27",1.6,"D~1.6"
"4",30.42,2638.80000007153,"complex","1",238,"27",1.4,"D~1.4"
"3.5",61.51,4015.30000007153,"complex","1",117,"27",1.6,"D~1.6"
"4.5",36.11,7311.19999992847,"complex","0.5",238,"27",1.2,"D~1.2"
"2.5",97,5167.19999992847,"complex","0.66667",117,"27",1.8,"D~1.8"
"5.5",34.13,8070.79999995232,"complex","0.5",314,"27",1,"D~1.0"
"4",51.32,9070.70000004768,"complex","1.5",238,"27",1.4,"D~1.4"
"3.5",60.71,2671.5,"complex","0.5",238,"27",1.6,"D~1.6"
"5.5",28.17,9409,"complex","0.66667",238,"27",1,"D~1.0"
"4",46.3,6614.70000004768,"complex","1.5",314,"27",1.4,"D~1.4"
"3.5",69,6837.60000002384,"complex","0.66667",314,"27",1.6,"D~1.6"
"4.5",47.22,4911.70000004768,"complex","1",117,"27",1.2,"D~1.2"
"5.5",21,5438.89999997616,"complex","0.5",238,"27",1,"D~1.0"
"2.5",95,5225.80000007153,"complex","0.66667",314,"27",1.8,"D~1.8"
"4.5",39.55,3083.60000002384,"complex","1.5",117,"27",1.2,"D~1.2"
"2.5",98,4790.69999992847,"complex","2",238,"27",1.8,"D~1.8"
"5.5",27.65,3322.19999992847,"complex","2",314,"27",1,"D~1.0"
"4",59,6940.39999997616,"complex","0.5",238,"27",1.4,"D~1.4"
"5.5",34.79,2742.80000007153,"complex","0.5",117,"27",1,"D~1.0"
"3.5",53.84,3959.5,"complex","0.66667",238,"27",1.6,"D~1.6"
"4.5",46.83,5088,"complex","0.5",314,"27",1.2,"D~1.2"
"2.5",98,3447.89999997616,"complex","2",314,"27",1.8,"D~1.8"
"2.5",99,2982.10000002384,"complex","1.5",117,"27",1.8,"D~1.8"
"5.5",14.15,3974.09999990463,"complex","1.5",238,"27",1,"D~1.0"
"5.5",21.03,3919.29999995232,"complex","1",117,"27",1,"D~1.0"
"5.5",21.43,3904.69999992847,"complex","1",314,"27",1,"D~1.0"
"4",47.35,9805.19999992847,"complex","0.66667",314,"27",1.4,"D~1.4"
"2.5",97,6078.80000007153,"complex","0.5",314,"27",1.8,"D~1.8"
"4",72,7703.39999997616,"complex","2",117,"27",1.4,"D~1.4"
"4",65.08,5830.79999995232,"complex","2",238,"27",1.4,"D~1.4"
"4",50,4399.29999995232,"complex","0.66667",117,"27",1.4,"D~1.4"
"4.5",34.66,5377,"complex","2",238,"27",1.2,"D~1.2"
"4.5",42.99,3141.10000002384,"complex","2",314,"27",1.2,"D~1.2"
"4.5",54.63,3890.30000007153,"complex","0.5",117,"27",1.2,"D~1.2"
"2.5",88.76,5403.30000007153,"complex","2",117,"27",1.8,"D~1.8"
"4",78.31,3919.30000007153,"complex","0.5",314,"27",1.4,"D~1.4"
"3.5",85.71,3062.89999997616,"complex","1.5",314,"27",1.6,"D~1.6"
"4",59.92,5215.10000002384,"complex","0.66667",238,"27",1.4,"D~1.4"
"5.5",35.71,3294.60000002384,"complex","0.66667",314,"27",1,"D~1.0"
"3.5",4.76,10748.7999999523,"relaxing","0.5",238,"27",1.6,"D~1.6"
"4.5",47.49,10566.8999999762,"relaxing","0.5",314,"27",1.2,"D~1.2"
"3.5",11.64,10630.3999999762,"relaxing","0.66667",238,"27",1.6,"D~1.6"
"4.5",45.24,9951,"relaxing","1",117,"27",1.2,"D~1.2"
"2.5",0,4487.40000009537,"relaxing","0.66667",238,"27",1.8,"D~1.8"
"3.5",32.54,4830.70000004768,"relaxing","1",314,"27",1.6,"D~1.6"
"2.5",0,3726.70000004768,"relaxing","0.5",314,"27",1.8,"D~1.8"
"4",54.37,5414.60000002384,"relaxing","1.5",238,"27",1.4,"D~1.4"
"5.5",70.11,8006.20000004768,"relaxing","1",238,"27",1,"D~1.0"
"5.5",77.65,5599.5,"relaxing","0.5",238,"27",1,"D~1.0"
"2.5",3.17,2542.29999995232,"relaxing","1.5",117,"27",1.8,"D~1.8"
"4.5",65.87,6198.89999997616,"relaxing","2",314,"27",1.2,"D~1.2"
"5.5",85.85,3955.20000004768,"relaxing","1",314,"27",1,"D~1.0"
"2.5",2,6898.40000009537,"relaxing","1",314,"27",1.8,"D~1.8"
"3.5",16.01,6415.5,"relaxing","1",238,"27",1.6,"D~1.6"
"5.5",79.5,14398.8000000715,"relaxing","1",117,"27",1,"D~1.0"
"4.5",42,4559.39999997616,"relaxing","0.5",117,"27",1.2,"D~1.2"
"4.5",54.76,3505.29999995232,"relaxing","1.5",314,"27",1.2,"D~1.2"
"4",61.51,5415.39999997616,"relaxing","2",314,"27",1.4,"D~1.4"
"2.5",5.16,2715.69999992847,"relaxing","1.5",314,"27",1.8,"D~1.8"
"5.5",50.66,5223.5,"relaxing","0.5",117,"27",1,"D~1.0"
"3.5",22,4494.5,"relaxing","0.66667",314,"27",1.6,"D~1.6"
"2.5",4.23,3135.5,"relaxing","0.66667",314,"27",1.8,"D~1.8"
"2.5",1.32,2858.60000002384,"relaxing","0.5",238,"27",1.8,"D~1.8"
"4.5",58.33,9182.29999995232,"relaxing","1.5",238,"27",1.2,"D~1.2"
"2.5",10.58,8588.40000009537,"relaxing","2",117,"27",1.8,"D~1.8"
"4",40.21,5193.29999995232,"relaxing","1",314,"27",1.4,"D~1.4"
"3.5",2.51,4810.89999997616,"relaxing","0.5",117,"27",1.6,"D~1.6"
"4",11.38,7432.79999995232,"relaxing","0.5",314,"27",1.4,"D~1.4"
"2.5",3.04,3903.40000009537,"relaxing","1",238,"27",1.8,"D~1.8"
"3.5",33.99,6542.70000004768,"relaxing","1.5",314,"27",1.6,"D~1.6"
"2.5",3.31,3122.29999995232,"relaxing","0.66667",117,"27",1.8,"D~1.8"
"2.5",1.32,2644.70000004768,"relaxing","1",117,"27",1.8,"D~1.8"
"4",18.52,3573.70000004768,"relaxing","0.66667",314,"27",1.4,"D~1.4"
"2.5",2.12,3062.69999992847,"relaxing","1.5",238,"27",1.8,"D~1.8"
"4",45.11,10919.2999999523,"relaxing","2",238,"27",1.4,"D~1.4"
"5.5",65.87,5827.5,"relaxing","1.5",117,"27",1,"D~1.0"
"5.5",76.85,3582.09999990463,"relaxing","1.5",238,"27",1,"D~1.0"
"5.5",67.06,6771.30000007153,"relaxing","0.66667",117,"27",1,"D~1.0"
"5.5",78.44,7135.19999992847,"relaxing","1.5",314,"27",1,"D~1.0"
"5.5",70.63,6418.70000004768,"relaxing","0.66667",314,"27",1,"D~1.0"
"4",46.96,5178.5,"relaxing","0.66667",117,"27",1.4,"D~1.4"
"2.5",22.22,5358.60000002384,"relaxing","2",238,"27",1.8,"D~1.8"
"4",37.83,6048.10000002384,"relaxing","1",117,"27",1.4,"D~1.4"
"4.5",46.83,34265.3000000715,"relaxing","1",238,"27",1.2,"D~1.2"
"4.5",43.65,7067.89999997616,"relaxing","0.66667",238,"27",1.2,"D~1.2"
"3.5",19.97,7047.39999997616,"relaxing","1.5",117,"27",1.6,"D~1.6"
"3.5",19.05,6865.40000009537,"relaxing","0.66667",117,"27",1.6,"D~1.6"
"2.5",8.73,8588.59999990463,"relaxing","2",314,"27",1.8,"D~1.8"
"5.5",74,6025.80000007153,"relaxing","2",238,"27",1,"D~1.0"
"3.5",32.67,6652.10000002384,"relaxing","1",117,"27",1.6,"D~1.6"
"4.5",42.86,6199.19999992847,"relaxing","1",314,"27",1.2,"D~1.2"
"4",31.75,22578.7999999523,"relaxing","2",117,"27",1.4,"D~1.4"
"5.5",82,5075.20000004768,"relaxing","2",314,"27",1,"D~1.0"
"5.5",60.32,5856,"relaxing","0.5",314,"27",1,"D~1.0"
"4.5",84.39,11054,"relaxing","2",238,"27",1.2,"D~1.2"
"4",21.16,5814.89999997616,"relaxing","0.5",117,"27",1.4,"D~1.4"
"5.5",78.44,8535,"relaxing","2",117,"27",1,"D~1.0"
"3.5",20.11,11967,"relaxing","2",314,"27",1.6,"D~1.6"
"4",27.91,11782,"relaxing","0.66667",238,"27",1.4,"D~1.4"
"4.5",30.29,4982.89999997616,"relaxing","0.66667",117,"27",1.2,"D~1.2"
"4",16.53,3047,"relaxing","0.5",238,"27",1.4,"D~1.4"
"4.5",39.55,3408.69999992847,"relaxing","1.5",117,"27",1.2,"D~1.2"
"4",22.35,9724.70000004768,"relaxing","1",238,"27",1.4,"D~1.4"
"4.5",18.65,6646.70000004768,"relaxing","0.5",238,"27",1.2,"D~1.2"
"2.5",0,5758.40000009537,"relaxing","0.5",117,"27",1.8,"D~1.8"
"3.5",30.56,10264,"relaxing","1.5",238,"27",1.6,"D~1.6"
"5.5",78.57,3670,"relaxing","0.66667",238,"27",1,"D~1.0"
"4.5",33.73,10611.7000000477,"relaxing","0.66667",314,"27",1.2,"D~1.2"
"4",50.66,8279.10000002384,"relaxing","1.5",314,"27",1.4,"D~1.4"
"3.5",15.48,4769.10000002384,"relaxing","0.5",314,"27",1.6,"D~1.6"
"3.5",34.26,3712.10000002384,"relaxing","2",238,"27",1.6,"D~1.6"
"4.5",72.09,5015.80000007153,"relaxing","2",117,"27",1.2,"D~1.2"
"4",49.74,4107.60000002384,"relaxing","1.5",117,"27",1.4,"D~1.4"
"3.5",35.45,4630.79999995232,"relaxing","2",117,"27",1.6,"D~1.6"
"3.5",52,11099.2000000477,"appealing","1",117,"27",1.6,"D~1.6"
"4.5",69.44,6792.19999992847,"appealing","0.5",117,"27",1.2,"D~1.2"
"4.5",77.91,4773.90000009537,"appealing","1.5",238,"27",1.2,"D~1.2"
"4",41.01,6326.69999992847,"appealing","2",314,"27",1.4,"D~1.4"
"3.5",29.63,12196.3000000715,"appealing","1.5",314,"27",1.6,"D~1.6"
"2.5",45,9081.70000004768,"appealing","1",117,"27",1.8,"D~1.8"
"3.5",16.4,12270.8999999762,"appealing","2",238,"27",1.6,"D~1.6"
"2.5",4.1,4776.89999997616,"appealing","1",238,"27",1.8,"D~1.8"
"4.5",67.99,3799.30000007153,"appealing","2",314,"27",1.2,"D~1.2"
"5.5",81.35,5548.60000002384,"appealing","2",117,"27",1,"D~1.0"
"4.5",54.76,9518.5,"appealing","2",238,"27",1.2,"D~1.2"
"3.5",42.33,8039,"appealing","0.66667",314,"27",1.6,"D~1.6"
"5.5",97,5978.60000002384,"appealing","2",314,"27",1,"D~1.0"
"3.5",26.85,6292.20000004768,"appealing","2",314,"27",1.6,"D~1.6"
"3.5",49.74,5632.19999992847,"appealing","1.5",117,"27",1.6,"D~1.6"
"2.5",12.3,2476.19999992847,"appealing","0.5",117,"27",1.8,"D~1.8"
"4",41.8,7455.20000004768,"appealing","0.5",314,"27",1.4,"D~1.4"
"2.5",9.26,2774.5,"appealing","1",314,"27",1.8,"D~1.8"
"2.5",16.8,5430.69999992847,"appealing","1.5",117,"27",1.8,"D~1.8"
"4",58.73,7657.79999995232,"appealing","0.66667",117,"27",1.4,"D~1.4"
"4",38.76,5156.19999992847,"appealing","0.66667",238,"27",1.4,"D~1.4"
"5.5",84.92,6783.10000002384,"appealing","0.5",314,"27",1,"D~1.0"
"4",41.27,18630.6999999285,"appealing","1",238,"27",1.4,"D~1.4"
"3.5",29.5,12597.6000000238,"appealing","0.5",238,"27",1.6,"D~1.6"
"4.5",66.01,2376.39999997616,"appealing","0.5",238,"27",1.2,"D~1.2"
"3.5",47.09,4599.39999997616,"appealing","0.5",314,"27",1.6,"D~1.6"
"2.5",12.43,4573.5,"appealing","0.66667",314,"27",1.8,"D~1.8"
"2.5",5.56,3862.5,"appealing","2",238,"27",1.8,"D~1.8"
"5.5",77.12,4459.30000007153,"appealing","1",117,"27",1,"D~1.0"
"4.5",70.77,5601.80000007153,"appealing","1",238,"27",1.2,"D~1.2"
"4",58.86,5345.89999997616,"appealing","0.5",238,"27",1.4,"D~1.4"
"3.5",48,6015,"appealing","0.66667",117,"27",1.6,"D~1.6"
"4",55.03,5091.39999997616,"appealing","0.5",117,"27",1.4,"D~1.4"
"2.5",18.52,3910.79999995232,"appealing","0.5",238,"27",1.8,"D~1.8"
"4",68.39,5086.39999997616,"appealing","1.5",314,"27",1.4,"D~1.4"
"5.5",79.89,6446.70000004768,"appealing","0.5",238,"27",1,"D~1.0"
"4",73.94,10208.1000000238,"appealing","2",238,"27",1.4,"D~1.4"
"3.5",60.19,5948.89999997616,"appealing","2",117,"27",1.6,"D~1.6"
